key,targname,tarkey1,type,equinox,obs_time,ra_targ,dec_targ,ra_calc,dec_calc,offset_arcsec,epoch_gap_yr,nongrav,other,has_lv2
18152/ifle06tjq_spt.fits,3I-ATLAS-DEC29,COMET,COMET,J2000,22-JAN-2026:13:12:53,123.880830,17.365999,123.874991,17.366427,20.122,0.45,True,False,False
15978/ie1q35i2q_spt.fits,289P-20191217,COMET,COMET,J2000,07-JAN-2020:05:04:48,0.236847,39.387932,0.239709,39.393002,19.915,2.06,False,False,False
13874/lcsk03evs_spt.fits,COMET-LOVEJOY,COMET,COMET,J2000,02-FEB-2015:20:54:16,33.217353,40.830089,33.213799,40.834396,18.279,0.20,False,False,False
18135/lfnc21qnq_spt.fits,C2025K1V2,COMET,COMET,J2000,08-NOV-2025:14:55:13,171.470097,15.311758,171.468721,15.316455,17.572,0.29,False,False,False
9496/o8fy07010_spt.fits,IKEYA-ZHANG-2,Comet,COMET,J2000,23-APR-2002:02:46:48,323.281643,61.119564,323.273211,61.121907,16.913,0.07,False,False,False
6591/u3a4040bt_shm.fits,HYAKUTAKE,COMET HYAKUTAKE,COMET,J2000,02-JUN-1996:03:38:39,47.492441,-23.863719,47.495213,-23.867541,16.511,0.08,False,False,False
17780/lfee15egq_spt.fits,3IATLAS-JPL44,COMET,COMET,J2000,22-DEC-2025:21:27:58,157.214428,8.533209,157.209891,8.534117,16.479,0.38,True,False,False
6841/u33k0104t_shm.fits,COMET-45P,COMET 45P-HONDA-MRKOS-PAJDUSAKOVA,COMET,J2000,04-FEB-1996:18:09:09,241.427284,-0.119625,241.423017,-0.118046,16.380,0.10,False,False,False
7240/u46s0101r_shm.fits,COMET1995O1,COMET,COMET,J2000,28-AUG-1997:00:36:39,116.682119,-23.385360,116.684245,-23.389080,15.125,0.33,False,False,False
9906/o8vk01010_spt.fits,NEAT-2001Q4,COMET,COMET,J2000,25-APR-2004:20:05:19,74.073644,-57.790203,74.079648,-57.787514,15.049,0.00,False,False,False
5361/u2ke0105t_shm.fits,COMET-BORRELLY-1987XXXIII,COMET BORRELLY 1987XXXIII,COMET,B1950,28-NOV-1994:10:14:39,132.497612,34.514340,132.501528,34.516973,14.991,0.12,True,False,False
5844/u2xc0504t_shm.fits,HALE-BOPP-3,COMET HALE-BOPP,COMET,J2000,20-MAY-1996:12:19:39,294.170980,-15.753663,294.174325,-15.751120,14.767,0.06,False,False,False
5844/u2xc0501t_shm.fits,HALE-BOPP-3,COMET HALE-BOPP,COMET,J2000,20-MAY-1996:10:49:39,294.179977,-15.758997,294.183321,-15.756456,14.763,0.06,False,False,False
5844/y2xc0601t_shf.fits,HALE-BOPP-3,COMET HALE-BOPP,COMET,J2000,20-MAY-1996:22:01:35,294.112371,-15.719182,294.115648,-15.716587,14.702,0.06,False,False,False
18152/ifle07acq_spt.fits,3I-ATLAS-JAN26,COMET,COMET,J2000,14-FEB-2026:20:14:16,109.808404,19.557794,109.804156,19.557634,14.423,0.49,True,False,False
16496/iej401jvq_spt.fits,323P,COMET,COMET,J2000,02-MAR-2021:11:02:27,65.354211,24.874516,65.358589,24.874932,14.377,0.04,False,False,False
15372/idpya5h6q_spt.fits,46P-WIRTANEN-V95-88,COMET,COMET,J2000,25-DEC-2018:10:31:47,85.586250,49.129239,85.590519,49.131988,14.110,0.00,True,False,False
15625/ldx601o1q_spt.fits,46P-WIRTANEN,COMET,COMET,J2000,09-JAN-2019:17:59:42,125.247545,59.521448,125.254293,59.521424,12.323,0.01,True,False,False
13492/lccw01l6q_spt.fits,COMET-ISON-EPOCH1,COMET,COMET,J2000,08-OCT-2013:20:03:36,148.112740,15.831124,148.115985,15.829785,12.226,0.00,False,False,False
14261/jcz301010_spt.fits,COMET-67P-CHURYUMOV-GERASIMENK,COMET,COMET,J2000,10-OCT-2015:11:22:27,148.655018,17.893545,148.658313,17.892636,11.753,0.39,True,False,False
12312/lbk611a5q_spt.fits,103P-HARTLEY-2-C,COMET,COMET,J2000,28-NOV-2010:15:24:12,114.766060,-14.663572,114.764146,-14.666206,11.591,0.00,False,False,False
6841/u33k0101t_shm.fits,COMET-45P,COMET 45P-HONDA-MRKOS-PAJDUSAKOVA,COMET,J2000,04-FEB-1996:17:55:39,241.460358,-0.131827,241.457363,-0.130717,11.501,0.10,False,False,False
6663/y3du0601t_shf.fits,HALE-BOPP-3,COMET HALE-BOPP,COMET,J2000,18-OCT-1996:15:09:22,263.333142,-4.120160,263.335854,-4.121804,11.393,0.26,False,False,False
10992/j9ms04bqq_spt.fits,73P-SW3-B,COMET,COMET,J2000,18-APR-2006:23:02:38,225.939611,27.519551,225.936733,27.521246,11.031,0.03,False,False,False
6663/u3du0501t_shm.fits,HALE-BOPP-3,COMET HALE-BOPP,COMET,J2000,17-OCT-1996:14:55:39,263.241743,-4.174150,263.244246,-4.175906,10.989,0.25,False,False,False
10992/j9ms03alq_spt.fits,73P-SW3-G,COMET,COMET,J2000,18-APR-2006:13:26:57,224.785167,27.564193,224.782310,27.565844,10.886,0.03,False,False,False
15625/ldx625e5q_spt.fits,46P-WIRTANEN-OFFSET2,COMET,COMET,J2000,13-JAN-2019:15:47:49,130.599570,59.206970,130.602751,59.204429,10.866,0.00,True,False,True
3707/y1a30201t_shf.fits,SCHAUMASSE,COMET SCHAUMASSE,COMET,J2000,03-MAR-1993:02:46:52,78.558670,44.880818,78.562682,44.881826,10.858,0.02,False,False,False
10992/j9ms02avq_spt.fits,73P-SW3-C,COMET,COMET,J2000,18-APR-2006:15:04:20,230.715074,25.884788,230.712440,25.886582,10.701,0.02,False,False,False
15978/ie1q16quq_spt.fits,289P-20200129,COMET,COMET,J2000,19-FEB-2020:14:26:11,142.776502,39.553410,142.777641,39.550614,10.551,1.88,False,False,False
16040/ie7s01piq_spt.fits,2IV4,COMET,COMET,J2000,08-DEC-2019:17:04:02,172.145845,-18.437367,172.147220,-18.439897,10.245,0.15,True,False,False
